seno,name,lati,longi
kh99982,세종시정부청사,36.503328,127.261827
kh99983,세종특별자치시청,36.480048,127.289070
kh99984,제주특별자치도청,33.488985,126.498377
kh99985,경상남도청,35.238289,128.692389
kh99986,경상북도청,35.892508,128.600602
kh99987,전라남도청,34.816217,126.462890
kh99988,전라북도청,35.820344,127.108727
kh99989,충청남도청,36.659439,126.673258
kh99990,충청북도청,36.635706,127.491350
kh99991,강원도청,37.885403,127.729784
kh99992,경기도청,37.275001,127.008479
kh99993,울산광역시청,35.539624,129.311522
kh99994,대전광역시청,36.350459,127.384847
kh99995,광주광역시청,35.160068,126.851451
kh99996,인천광역시청,37.455920,126.705501
kh99997,대구광역시청,35.871420,128.601720
kh99998,부산광역시청,35.179756,129.074998
kh99999,서울특별시청,37.566682,126.978418
